carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
12002,hyundi, Santa Fe,2017,Semi-Auto,32467,Diesel,235,42.9709,2.2,18991
12003,vw, Arteon,2019,Automatic,1555,Petrol,145,40.5071,1.5,22500
12005,toyota, Verso,2003,Automatic,104000,Petrol,300,34.5227,1.8,2395
12006,ford, Grand C-MAX,2018,Manual,5113,Petrol,145,47.6225,1,14000
12007,bmw, X6,2019,Automatic,9010,Diesel,145,35.2224,3,58700
12008,toyota, Prius,2016,Automatic,32853,Hybrid,10,63.8371,1.8,22995
12009,toyota, Supra,2019,Semi-Auto,1000,Petrol,145,34.5023,3,49991
12010,toyota, PROACE VERSO,2019,Automatic,5,Diesel,145,38.7363,2,27998
12011,vw, Caravelle,2015,Semi-Auto,55000,Diesel,300,37.2958,2,25995
12012,ford, Mustang,2020,Manual,50,Petrol,145,23.8813,5,48000
12014,merc, GLS Class,2020,Semi-Auto,3999,Diesel,145,29.955,3,67480
12015,ford, Grand C-MAX,2019,Manual,7570,Petrol,145,48.0457,1,14450
12016,bmw, 6 Series,2016,Semi-Auto,25596,Diesel,200,49.6799,3,22910
12018,toyota, Avensis,2016,Automatic,20251,Petrol,145,46.3624,1.8,12498
12021,merc, S Class,2018,Semi-Auto,12955,Diesel,145,52.3277,3,41632
12022,vauxhall, GTC,2016,Manual,17887,Petrol,160,46.7194,1.4,10590
12023,skoda, Rapid,2017,Manual,8706,Petrol,150,61.2941,1,10990
12025,merc, CLS Class,2019,Semi-Auto,3418,Diesel,145,47.8386,2.9,45699
12026,merc, CLS Class,2016,Automatic,54195,Diesel,165,49.6878,3,18900
12030,toyota, Verso,2017,Manual,31756,Diesel,145,63.0549,1.6,11498
12031,merc, V Class,2019,Automatic,10,Diesel,145,45.5404,2.2,50640
12032,hyundi, I800,2018,Automatic,21600,Diesel,150,33.9872,2.5,16790
12033,audi, A7,2014,Semi-Auto,29319,Diesel,145,54.4675,3,19800
12035,toyota, Prius,2019,Automatic,3650,Hybrid,140,217.7444,1.8,27999
12036,skoda, Rapid,2018,Manual,12231,Petrol,145,62.3519,1,7995
12037,ford, Galaxy,2018,Semi-Auto,42164,Diesel,145,52.244,2,18999
12038,merc, S Class,2019,Semi-Auto,83,Diesel,145,52.0574,3,49998
12039,hyundi, I40,2015,Manual,53730,Diesel,30,65.6208,1.7,8854
12044,bmw, 7 Series,2016,Semi-Auto,23600,Petrol,200,41.4035,3,23995
12045,audi, RS5,2018,Semi-Auto,28249,Petrol,145,32.7199,2.9,42500
12050,vauxhall, Zafira Tourer,2016,Automatic,14000,Petrol,200,41.1429,1.4,12990
12051,vw, Arteon,2019,Automatic,7865,Diesel,145,50.8336,2,28995
12053,merc, CLA Class,2016,Automatic,28916,Diesel,20,67.1855,2.1,20248
12055,toyota, GT86,2019,Manual,5123,Petrol,145,33.3083,2,25780
12057,vw, Scirocco,2013,Manual,37940,Diesel,30,62.7403,2,11500
12058,ford, Edge,2018,Semi-Auto,9412,Diesel,150,47.9248,2,24000
12059,vauxhall, Combo Life,2019,Manual,2083,Diesel,145,53.3219,1.5,16991
12061,toyota, Verso,2011,Manual,74488,Petrol,200,41.3527,1.6,5899
12062,vw, Scirocco,2017,Semi-Auto,37975,Diesel,125,58.6946,2,15690
12063,ford, Edge,2016,Manual,52000,Diesel,200,47.9355,2,17995
12065,ford, Tourneo Connect,2016,Automatic,36145,Diesel,125,56.305,1.5,13250
12066,merc, CLS Class,2016,Automatic,17730,Diesel,165,51.2835,3,21591
12067,toyota, Verso,2013,Manual,55965,Petrol,205,42.9719,1.6,8490
12068,ford, Edge,2019,Semi-Auto,7999,Diesel,145,37.3019,2,29999
12070,ford, Tourneo Custom,2019,Manual,10450,Diesel,145,31.894,2,29500
12072,bmw, 6 Series,2019,Semi-Auto,1125,Petrol,145,34.2948,3,39999
12074,merc, GL Class,2017,Automatic,8442,Diesel,145,56.9295,2.1,26499
12075,merc, SLK,2015,Automatic,13000,Diesel,150,56.8002,2.1,17900
12077,toyota, Land Cruiser,2017,Semi-Auto,34580,Diesel,305,38.2397,2.8,36450
12078,merc, CLS Class,2017,Semi-Auto,45870,Diesel,125,57.4229,2.1,20480
12079,skoda, Yeti,2014,Semi-Auto,28095,Diesel,205,44.8279,2,12750
12080,audi, A7,2017,Semi-Auto,21134,Diesel,145,52.7379,3,25450
12084,skoda, Scala,2019,Manual,3501,Petrol,145,49.5333,1,15490
12085,merc, S Class,2017,Semi-Auto,32979,Hybrid,135,100.9723,3,45599
12086,bmw, M4,2019,Semi-Auto,101,Petrol,145,34.37,3,41980
12087,bmw, i3,2016,Automatic,43695,Hybrid,0,77.729,0,16482
12089,bmw, M4,2017,Semi-Auto,20750,Petrol,300,34.0441,3,34950
12090,hyundi, I800,2018,Manual,33387,Diesel,150,32.021,2.5,15800
12092,vw, CC,2015,Manual,61119,Diesel,30,60.3707,2,9301
12093,vw, Scirocco,2015,Manual,30367,Petrol,145,36.8323,2,12217
12094,ford, Grand Tourneo Connect,2017,Manual,27252,Diesel,30,64.5176,1.5,14200
