Item,Operator1,Operator2,Operator3,Operator4,Operator5
Item1,4.3,4.9,3.3,5.3,4.4
Item1,4.3,4.5,4,5.5,3.3
Item1,4.1,5.3,3.4,5.7,4.7
Item2,6,5.3,4.5,5.9,4.7
Item2,4.9,6.3,4.2,5.5,4.9
Item2,6,5.9,4.7,6.3,4.6
Item3,2.4,2.5,2.3,3.1,2.4
Item3,3.9,3,2.8,2.7,1.3
Item3,1.9,3.9,2.6,4.6,2.2
Item4,7.4,8.2,6.4,6.8,6
Item4,7.1,7.9,5.9,7.3,6.1
Item4,6.4,7.1,6.9,7,6.7
Item5,5.7,6.3,5.4,6.1,5.9
Item5,5.8,5.7,5.4,6.2,6.5
Item5,5.8,6,6.1,7,4.9
Item6,2.2,2.4,1.7,3.4,1.7
Item6,3,1.8,2.1,4,1.7
Item6,2.1,3.3,1.1,3.3,2.1
Item7,1.2,1.5,1.2,0.9,0.7
Item7,1.3,2.4,0.8,1.2,1.3
Item7,0.9,3.1,1.1,1.9,1.6
Item8,4.2,4.8,4.5,4.6,3.2
Item8,3,4.5,4.7,4.9,4.6
Item8,4.8,4.8,4.7,4.8,4.3
Item9,8,8.6,9,9.4,8.8
Item9,9,7.7,6.7,9,7.9
Item9,8.9,9.2,8.1,9.1,7.6
Item10,5,4.8,3.9,5.5,3.8
Item10,5.4,5,3.4,4.9,4.6
Item10,2.8,5.2,4.1,3.9,5.5
